states,vaccinated,income,unemployment,gdp,democrat,republican,total,demo_perc,republican_perc
Alabama,12.71,49861.00,4,45691.00,849624,1441170,2323282,0.365699902,0.620316432
Alaska,21.42,74346.00,6.6,68722.00,153778,189951,359530,0.427719523,0.528331433
Arizona,15.85,59246.00,6.9,50187.00,1672143,1661686,3387326,0.493646906,0.49055981
Arkansas,12.88,47062.00,4.5,42591.00,423932,760647,1219069,0.34775062,0.623957299
California,14.76,75277.00,8.5,78538.00,11110250,6006429,17500881,0.634839469,0.343207236
Colorado,16.43,71953.00,6.6,67169.00,1804352,1364607,3279980,0.550110671,0.416041256
Connecticut,18.64,76348.00,8.5,78971.00,1080831,714717,1823857,0.592607315,0.391871183
Delaware,15.01,64805.00,6.3,76522.00,296268,200603,504346,0.587430058,0.397748768
District of Columbia,11.98,85203.00,8.1,201360.00,317323,18586,344356,0.921496939,0.053973214
Florida,14.72,55462.00,4.7,50424.00,5297045,5668731,11067456,0.478614507,0.512198196
Georgia,11.77,58756.00,4.8,57819.00,2473633,2461854,4999960,0.494730558,0.492374739
Hawaii,17.72,80212.00,9.2,63863.00,366130,196864,579784,0.631493798,0.339547142
Idaho,15.34,55583.00,3.3,45997.00,287021,554119,868014,0.330664022,0.638375648
Illinois,15.35,65030.00,7.4,68601.00,3471915,2446891,6033743,0.575416454,0.405534508
Indiana,15.75,55746.00,4,55165.00,1242416,1729519,3033118,0.409616771,0.570211578
Iowa,17.83,59955.00,3.6,60916.00,759061,897672,1700130,0.446472329,0.528001976
Kansas,15.53,58218.00,3.2,59475.00,570323,771406,1372303,0.415595535,0.562125128
Kentucky,15.84,50247.00,5.2,46909.00,772474,1326646,2136768,0.361515148,0.620865719
Louisiana,14.97,47905.00,7.6,52093.00,856034,1255776,2148062,0.398514568,0.584608824
Maine,18.42,55602.00,4.8,49029.00,435072,360737,828305,0.525255793,0.435512281
Maryland,15.61,83242.00,6.2,69805.00,1985023,976414,3037030,0.653606649,0.321502916
Massachusetts,17.37,79835.00,7.1,84722.00,2382202,1167202,3658005,0.651229837,0.319081576
Michigan,15.64,56697.00,5.2,51766.00,2804040,2649852,5539302,0.506208183,0.478372907
Minnesota,17.04,70315.00,4.3,66171.00,1717077,1484065,3277171,0.523950993,0.452849424
Mississippi,13.90,44717.00,6.3,38493.00,539398,756764,1313759,0.410576065,0.576029546
Missouri,13.63,54478.00,4.2,52297.00,1253014,1718736,3025962,0.414087817,0.567996558
Montana,17.41,55328.00,3.9,47649.00,244786,343602,603674,0.405493694,0.569184692
Nebraska,16.51,59566.00,3.1,66480.00,374583,556846,956383,0.391666309,0.582241633
Nevada,14.90,58646.00,8.3,54998.00,703486,669890,1405376,0.50056782,0.476662473
New Hampshire,16.15,74991.00,3.3,62293.00,424921,365654,806182,0.527078253,0.453562595
New Jersey,16.79,81740.00,7.8,69695.00,2608335,1883274,4549353,0.573341968,0.413965239
New Mexico,22.04,47169.00,8.3,47623.00,501614,401894,923965,0.542892858,0.434966692
New York,14.63,67844.00,8.9,87866.00,5230985,3244798,8661735,0.603918845,0.374612938
North Carolina,15.29,53855.00,5.7,55292.00,2684292,2758773,5524802,0.485862118,0.499343325
North Dakota,18.99,63837.00,4.7,70603.00,114902,235595,361819,0.317567624,0.651140487
Ohio,15.61,56111.00,5,57729.00,2679165,3154834,5922202,0.452393383,0.532713001
Oklahoma,16.49,51924.00,4.4,46871.00,503890,1020280,1560699,0.322861743,0.653732718
Oregon,15.38,63426.00,6.1,59049.00,1340383,958448,2374321,0.564533187,0.40367246
Pennsylvania,15.27,60905.00,7.3,61031.00,3458229,3377674,6915283,0.500084957,0.48843612
Rhode Island,18.76,64340.00,7.3,56970.00,307486,199922,516990,0.594761988,0.386703805
South Carolina,13.95,52306.00,5.2,46318.00,1091541,1385103,2514096,0.434168385,0.550934809
South Dakota,20.98,56274.00,2.9,61444.00,150471,261043,422609,0.356052521,0.617693897
Tennessee,12.63,52375.00,4.9,52925.00,1143711,1852475,3053851,0.374514343,0.606602942
Texas,12.34,60629.00,6.9,59935.00,5259126,5890347,11315056,0.464790099,0.520576036
Utah,10.90,71414.00,3,59998.00,560282,865140,1488289,0.376460486,0.58129839
Vermont,16.87,60782.00,3.1,52614.00,242820,112704,370968,0.654557806,0.303810571
Virginia,15.51,72577.00,5.2,64229.00,2413568,1962430,4460524,0.541095172,0.439955037
Washington,16.22,74073.00,5.6,80418.00,2369612,1584651,4087631,0.579703011,0.387669777
West Virginia,18.30,44097.00,6.2,41299.00,235984,545382,794652,0.296965212,0.686315519
Wisconsin,17.31,60773.00,3.8,58066.00,1630866,1610184,3298041,0.494495369,0.488224373
Wyoming,16.61,61584.00,5.3,62236.00,73491,193559,278503,0.263878666,0.694997899
